OBJECTID *,Shape *,ARCID,UP_CELLS,Shape_Length,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
1,Polyline,636843,1671,78.364439,78.364439,-14979.6783,3480833.579,-15003.7019,3480864.533,-15027.7255,3480895.486
2,Polyline,636844,294,310.300702,310.300702,-7246.9224,3480223.529,-7342.1401,3480346.024,-7437.3578,3480468.52
3,Polyline,636994,1427,2811.594507,2811.594507,-12642.2479,3479790.966,-13811.00788,3480312.215,-14979.6783,3480833.579
4,Polyline,637063,314,2743.048513,2743.048513,1831.4991,3478627.606,606.694182,3478972.835,-314.2356,3479537.639
5,Polyline,637143,562,926.587486,926.587486,-12687.6211,3478865.491,-12664.9345,3479328.228,-12642.2479,3479790.966
6,Polyline,637202,104,1313.739019,1313.739019,-24394.052,3479677.908,-23991.69467,3479158.691,-23435.7206,3478933.986
7,Polyline,637203,1937,1943.580595,1943.580595,-23435.7206,3478933.986,-23387.13903,3479904.561,-22985.1891,3480723.794
8,Polyline,637352,159,108.394011,108.394011,13816.9701,3476259.324,13850.32673,3476216.608,13886.6518,3476237.797
9,Polyline,637526,530,2486.874307,2486.874307,-33485.4738,3477121.689,-33422.16002,3478363.513,-33250.4802,3479558.801
10,Polyline,637527,165,5380.359193,5380.359193,-16609.5881,3476043.268,-15502.01296,3478313.313,-14979.6783,3480833.579
11,Polyline,637608,159,4765.247041,4765.247041,-26963.8932,3476095.386,-25247.00273,3477632.944,-23435.7206,3478933.986
12,Polyline,637693,126,3118.700364,3118.700364,-36127.6963,3476096.599,-34853.78474,3476727.509,-33485.4738,3477121.689
13,Polyline,637926,824,12972.8648,12972.8648,-4591.9017,3473370.166,-9077.790635,3476187.628,-12642.2479,3479790.966
14,Polyline,638167,188,4307.644522,4307.644522,-33884.6447,3473197.883,-33190.12679,3475097.645,-33485.4738,3477121.689
15,Polyline,638168,389,5217.612103,5217.612103,20962.0635,3470548.327,19202.33291,3472308.009,18563.2794,3474671.929
16,Polyline,638237,301,5138.295509,5138.295509,-56968.0452,3473935.008,-55193.3719,3475792.71,-53418.6986,3477650.411
17,Polyline,638238,1417,5396.158543,5396.158543,-46817.0446,3473632.571,-47543.56005,3476056.271,-48884.4275,3478288.282
18,Polyline,638239,2652,7461.924752,7461.924752,10023.5213,3470821.913,12104.60896,3473506.789,14206.9485,3476137.788
19,Polyline,638318,180,2747.574169,2747.574169,5927.1101,3472637.061,6772.25175,3471553.997,7617.3934,3470470.934
20,Polyline,638319,345,2599.844896,2599.844896,7617.3934,3470470.934,8915.891414,3470410.096,10023.5213,3470821.913
21,Polyline,638396,755,1620.175925,1620.175925,-45672.4995,3472644.689,-46321.89791,3472991.421,-46817.0446,3473632.571
22,Polyline,638397,139,3041.057024,3041.057024,-43389.6701,3474382.513,-44623.20995,3473745.142,-45672.4995,3472644.689
23,Polyline,638460,173,3990.374725,3990.374725,-6150.2173,3469966.896,-5078.199649,3471543.652,-4591.9017,3473370.166
24,Polyline,638461,115,2322.276974,2322.276974,5774.4879,3469398.376,6648.283563,3470052.788,7617.3934,3470470.934
25,Polyline,638533,232,10861.13827,10861.13827,-11141.7166,3469745.083,-11093.29926,3474404.833,-12687.6211,3478865.491
26,Polyline,638534,379,7824.877579,7824.877579,596.2396,3469411.713,-1730.012425,3471660.087,-4591.9017,3473370.166
27,Polyline,638602,1427,9835.358124,9835.358124,-22682.491,3470081.726,-22062.24312,3474531.595,-23435.7206,3478933.986
28,Polyline,638644,891,463.346531,463.346531,-22705.5439,3469618.953,-22694.01745,3469850.339,-22682.491,3470081.726
29,Polyline,638645,324,12127.35286,12127.35286,-15162.6322,3469014.022,-13710.12376,3474275.963,-12687.6211,3478865.491
30,Polyline,638719,604,3703.946207,3703.946207,-43406.7431,3470206.54,-44296.29249,3471644.95,-45672.4995,3472644.689
31,Polyline,638802,210,5218.06037,5218.06037,-38857.1493,3469507.873,-41039.79129,3469625.326,-43406.7431,3470206.54
32,Polyline,638803,268,6255.942669,6255.942669,28366.0924,3466968.048,30571.33833,3467551.496,33033.2276,3468931.379
33,Polyline,638874,301,1074.536927,1074.536927,-43852.4028,3469301.436,-43777.49693,3469817.697,-43406.7431,3470206.54
34,Polyline,638875,260,8748.169348,8748.169348,-30143.2699,3468368.152,-26759.48815,3470612.558,-22682.491,3470081.726
35,Polyline,638876,2128,5745.768369,5745.768369,13407.026,3466491.637,11944.59564,3468852.914,10023.5213,3470821.913
36,Polyline,638946,136,916.939605,916.939605,-69098.2912,3470872.145,-68818.7472,3470508.759,-68539.2032,3470145.373
37,Polyline,638947,339,5408.175228,5408.175228,-66298.2091,3474701.091,-67259.95303,3472354.404,-68539.2032,3470145.373
38,Polyline,638948,101,916.63103,916.63103,-43291.7414,3468576.266,-43572.0721,3468938.851,-43852.4028,3469301.436
39,Polyline,638949,14143,6034.131548,6034.131548,37237.2629,3464951.204,34921.59885,3466443.884,33362.3094,3468909.783
